1150,0,1100,480,955,285,1385,0
765,95,1100,955,1150,0,1385,0
765,45,1100,1435,575,285,1385,0
955,45,1100,480,955,285,1385,0
575,0,1385,480,955,285,1100,0
575,95,1100,955,1150,0,1245,0
575,95,1385,480,955,0,1100,0
575,0,1385,480,1150,285,1100,0
765,0,1385,480,575,285,1100,0
955,0,1245,1435,1150,145,1100,0
955,0,1100,955,955,0,1245,0
765,45,1245,955,765,145,1100,0
575,0,1100,955,1150,285,1385,0
765,45,1100,480,575,285,1385,0
575,95,1385,480,1150,0,1100,0
1150,0,1385,480,1150,285,1100,0
575,0,1385,480,575,285,1100,0
955,45,1245,480,765,285,1100,0
575,95,1100,955,1150,0,1385,0
765,45,1100,1435,765,145,1245,0
1150,0,1100,1435,1150,145,1245,0
575,95,1100,955,955,0,1385,0
575,0,1385,480,765,285,1100,0
1150,0,1245,955,1150,145,1100,0
