435,130,630,0,520,0,500,215
520,0,630,0,350,45,500,435
260,130,630,0,350,20,500,650
435,130,630,0,435,20,500,215
435,130,500,0,260,0,630,215
520,0,565,0,260,45,500,435
435,0,500,0,260,45,630,215
520,130,500,0,260,0,630,215
260,130,500,0,350,0,630,215
520,65,500,0,435,0,565,650
435,0,565,0,435,0,500,435
350,65,500,0,350,20,565,435
520,130,630,0,260,0,500,435
260,130,630,0,350,20,500,215
520,0,500,0,260,45,630,215
520,130,500,0,520,0,630,215
260,130,500,0,260,0,630,215
350,130,500,0,435,20,565,215
520,0,630,0,260,45,500,435
350,65,565,0,350,20,500,650
520,65,565,0,520,0,500,650
435,0,630,0,260,45,500,435
350,130,500,0,260,0,630,215
520,65,500,0,520,0,565,435
